customer_tweet_id,customer_text,historical_brand_reply,predicted_intent,confidence,best_similarity,retrieved_count,action,decision_reason,retrieved_reply
1685094,Bi güncelleme daha geldi. Artık şarj 3 saat gitmez. @AppleSupport @21690,@512029 We offer support via Twitter in English. Contact us for help in your preferred language here: https://t.co/IBIY3vMgPj,general_support,0.574,0.4497,16,ESCALATE,Intent is too broad or unclear,@501740 We offer support via Twitter in English. Contact us for help in your preferred language here: https://t.co/IBIY3vMgPj
1701979,@AppleSupport Finally. For once thank you Apple,@516030 You're welcome. Have a good rest of your day.,general_support,0.3347,0.4328,5,ESCALATE,Intent is too broad or unclear,@530010 You bet! Remember to reach out any time you need us. We're always happy to help.
152843,Hi @AppleSupport looking to talk to someone about an issue im having with my macbook pro but for some reason I cant get the live chat to work after signing in to apple support. Is there an email address I can send my query to.,@150958 We're here for you. We'd be happy to help with any issues you might be having right here over Twitter. What's going on with your MacBook Pro?,general_support,0.206,0.2533,9,ESCALATE,Intent is too broad or unclear,@579471 We'd like to hear more about what's happening with your iPhone. Send us a DM with which iPhone you have and the iOS version. https://t.co/GDrqU22YpT
2295792,@AppleSupport It’ll be nice if the swipe up feature takes us to home and holding it halfway to the app switcher and control center. Just like the iPhone X.,@669692 Thank you for reaching out. We encourage you to leave feedback about this feature by going to https://t.co/aXEtn6UIwx,app_or_itunes_issue,0.2256,0.2316,1,ESCALATE,Low intent confidence,@555549 Let's look into this together! Join us in DM with the iOS version currently installed and details about when this started. https://t.co/GDrqU22YpT
2899031,"Hey @AppleSupport, Notification Center on iMac still thinks Twitter is limited to 140 char. Any update on that?",@174832 We know how important it is to have Notification Center working with Twitter. We recommend reaching out to Twitter directly for assistance with this: https://t.co/NqFpKI17lk,device_functionality_issue,0.3131,0.2873,7,ESCALATE,Device-specific troubleshooting required,"@152100 To clarify, with Do not Disturb turned on you are not seeing it in the status bar as an icon indicator? Let us know in DM and we will continue to help. https://t.co/GDrqU22YpT"
2753667,@AppleSupport It is from multiple contacts. Not all messages are having that scenario. I’m really wondering why it wouldn’t show on the lockscreen.,"@770790 We recommend creating backup of your data, and update your iOS to iOS 11.1.2 and let us know if this resolves the problem. This article has the details: https://t.co/80YRnjDFDk",device_functionality_issue,0.2366,1.0,1,ESCALATE,Device-specific troubleshooting required,"@770790 We recommend creating backup of your data, and update your iOS to iOS 11.1.2 and let us know if this resolves the problem. This article has the details: https://t.co/80YRnjDFDk"
2438607,"@AppleSupport Correct- every time an app opens, the phone freezes.  There is a lag in everything I do.  Can I revert back to an old version of the iOS? Or can I do anything else to improve this experience?","@699466 As downgrading software isn't something we support, we'd be happy to work with you further on this. Let us know if all of your apps are up-to-date, and which country you're located in, in DM: https://t.co/GDrqU22YpT",performance_freezing,0.614,1.0,3,ESCALATE,Device-specific troubleshooting required,"@699466 As downgrading software isn't something we support, we'd be happy to work with you further on this. Let us know if all of your apps are up-to-date, and which country you're located in, in DM: https://t.co/GDrqU22YpT"
2297347,Also this fucking I️ bullshit is pissing me off @115858,"@666931 iOS 11.1.1 was recently released and it includes a fix for autocorrect issues. Be sure to back up your device prior to updating, and let us know if the issue persists afterwards. How to back up: https://t.co/4f8hwT5to6",other,0.701,1.0,16,ESCALATE,Intent is too broad or unclear,"@666931 iOS 11.1.1 was recently released and it includes a fix for autocorrect issues. Be sure to back up your device prior to updating, and let us know if the issue persists afterwards. How to back up: https://t.co/4f8hwT5to6"
1295098,@AppleSupport I have been sent to this page twice in the past days while browsing @422761 and @77213 on @123765 app. https://t.co/v95uGabOi5,@422760 Thanks for reaching out. Please take a look at steps to address pop-up ads in Safari: https://t.co/KATiqSeE7k,app_or_itunes_issue,0.3773,0.2475,1,ESCALATE,Low intent confidence,"@203370 Thanks for bringing this behavior to our attention. Let’s work together to get this addressed. To verify, how long has this been happening? Do you currently have any restrictions set up? This article has more details, for reference: https://t.co/eiyAtwvrU1"
2210719,"Hat es einen Grund, dass mein Wecker (auf 9:00Uhr gestellt) erst 10 Minuten später klingelt? @AppleSupport",@646156 We offer support via Twitter in English. Contact us for help in your preferred language here: https://t.co/IBIY3vMgPj,general_support,0.2914,0.276,11,ESCALATE,Intent is too broad or unclear,@758997 We offer support via Twitter in English. Contact us for help in your preferred language here:  https://t.co/IBIY3vMgPj
655868,@115858 @AppleSupport Also my home button on my 6s broke so if y'all could help with that too that'd be nice,@276022 We'd be happy to help you. Send us a DM and let us know what's happening with the Home button. https://t.co/GDrqU22YpT,device_functionality_issue,0.5704,0.3605,13,ESCALATE,Device-specific troubleshooting required,"@557448 We have a guide for help with buttons, which you can see here: https://t.co/45AlFnF6Ae Send us a DM if we can help further. https://t.co/GDrqU22YpT"
1183760,@115858 can you please fix the keyboard on our phones? Can’t write a single sentence with i capitalized without it inserting a symbol instead,"@398352 Thanks for reaching out. If you're on iOS 11.1, try this: https://t.co/MaraeomA15 Questions? Feel free to send us a DM. https://t.co/GDrqU22YpT",device_functionality_issue,0.5428,0.3666,12,ESCALATE,Device-specific troubleshooting required,"@592155 Hello Alexis, we'd be happy to look into this with you. DM us the device and operating system are you using? https://t.co/GDrqU22YpT"
2476149,@115858 plz fix the I️ thing. Help us.,"@707825 We're here for you. An update has been released to assist with this issue. If you haven’t yet, please back up your device and update it to iOS 11.1.1. For more info, check out: https://t.co/4f8hwT5to6",other,0.6637,0.9734,15,ESCALATE,Intent is too broad or unclear,@702046 We've recently released an update to fix this. We do recommend creating a current backup of the data on your device before updating. Here's more about the new update: https://t.co/xU1AGHStV6 Let us know if this helps. https://t.co/GDrqU22YpT
2273932,How did the typo happen? I sent the tweet without the typo and it posted WITH the @115858 bug typo. It’s like a ghost in my phone. Do I️ need an iPhone exorcism?,"@661405 An update has been released to assist with this issue. If you haven’t yet, please back up your device and update it to the latest version iOS 11.1.1. For more info, check out: https://t.co/xXaXeeSRt9",other,0.2598,0.2331,8,ESCALATE,Intent is too broad or unclear,@588987 We can definitely look into this with you. Which device are you having trouble with? DM us and let us know. https://t.co/GDrqU22YpT
519245,What a disappointment @115858 most recent updates have been. Consistent freezes and app crashes over the last few weeks.,@124328 We'd love to help with your iPhone's performance! Which version of iOS 11 have you updated to?,performance_freezing,0.7209,0.228,4,ESCALATE,Device-specific troubleshooting required,@624017 Thank you for reaching out to us. We'd like to gather more information. Please DM us what apps you've experienced crashing. https://t.co/GDrqU22YpT
2003607,@115858 IOS 11 keeps turning on my Bluetooth.It’s driving me nuts. I never use it on my iPhone. They seem to want all control &amp; leave me less,"@592494 Let's look into that. Does this article explain? https://t.co/G7BHuQnDS6 If not, send us a DM and we'll go from there. https://t.co/GDrqU22YpT",software_update_issue,0.4315,0.4585,4,ESCALATE,Low intent confidence,@550424 We can help. To disable Wi-Fi go to Settings &gt; Wi-Fi and turn it off. The control center disconnects: https://t.co/G7BHuQnDS6
