metric,value,notes
Reviewed/provisional golden-set size,200.0,200 AppleSupport customer messages. Labels were reviewed during development but were not independently double-annotated.
Golden-set accuracy,0.23,Evaluation of the Word + Character TF-IDF + LinearSVC classifier on the reviewed/provisional set.
Golden-set macro F1,0.1930064516159604,Macro F1 across the 10 intent classes.
Best pseudo-label benchmark accuracy,0.913,"Word + Character TF-IDF + LinearSVC with C=3.0. Labels were generated using keyword-based rules, so this is not a human-validated accuracy estimate."
Best pseudo-label benchmark macro F1,0.9129340179853462,Word + Character TF-IDF + LinearSVC with C=3.0. Pseudo-label benchmark.
Majority-class baseline accuracy,0.1,10 intent classes with approximately balanced pseudo-label training data.
Keyword-rule baseline accuracy,0.956,Keyword baseline. This is artificially strong because the pseudo-labels were themselves generated using keyword rules.
End-to-end evaluation examples,500.0,AppleSupport historical examples.
Auto-handle rate,0.142,"Final policy using intent confidence, retrieval similarity, and safety/escalation rules."
Escalation rate,0.858,Cases not considered safe enough for automatic handling.
Average intent confidence,0.4997,Mean classifier confidence over 500 examples.
Evidence availability rate,0.978,Fraction of examples for which historical retrieval returned evidence.
Strong evidence rate,0.448,Historical retrieval similarity >= 0.50.
Weak auto-handle rate,0.4648,Fraction of auto-handled cases classified as weak according to the evaluation's evidence criteria.
LLM-as-judge,Not executed,No external LLM API key was available in the development environment. No fabricated judge scores are reported.
Human/LLM agreement,Not measured,"Because an LLM judge was not executed, human/LLM agreement cannot be honestly calculated."
What is misleading about my headline number?,91.30%,The 91.30% classifier result is measured against pseudo-labels created by keyword rules. The same model achieves 23.00% accuracy and 19.30% macro F1 on the 200-example reviewed/provisional golden set. Therefore 91.30% should not be presented as human-validated real-world accuracy.
Safety philosophy,Conservative auto-handling,"Sensitive, unresolved, account/billing, device-specific, low-confidence, low-similarity, and ambiguous cases are preferentially escalated."
