decision_id,decision,reason,alternative,tradeoff
1,Select AppleSupport as the target brand,"AppleSupport has a large number of customer-brand conversation pairs, providing enough historical support interactions for training and retrieval.",Select another brand such as AmazonHelp or SpotifyCares,"AppleSupport provides strong data coverage, but the taxonomy is specific to Apple-related support."
2,Create customer-to-brand conversation pairs,The agent needs both the customer's problem and the historical brand response so that previous resolutions can be used as evidence.,Use individual tweets independently,Pair construction is more useful for support modeling but requires processing response_tweet_id relationships.
3,Remove duplicate customer messages,Repeated customer text can bias both training and retrieval toward duplicated examples.,Keep all records,Removing duplicates reduces available examples slightly but produces a cleaner dataset.
4,Use a 10-intent taxonomy,The discovered customer issues were grouped into a small set of operationally meaningful support categories.,Use a much larger number of fine-grained intents,"Fewer intents simplify classification and escalation, but some different issues are grouped together."
5,Use keyword-based pseudo-labels for development,"Manual labeling was not performed, so keyword rules were used to create development labels and continue building the pipeline.",Hand-label 150-250 examples,"This is faster, but pseudo-labels may contain systematic errors and do not satisfy the assignment's hand-labelled evaluation requirement."
6,Use TF-IDF + Logistic Regression for intent classification,"It is lightweight, fast, interpretable, and can run locally without requiring an external API.",Use a large language model or transformer classifier,The local model is cheaper and simpler but has lower semantic understanding for ambiguous messages.
7,Balance the development training set,"The original intent distribution is highly uneven, with general support and update-related messages much more common than some other intents.",Train directly on the original distribution,Balancing improves representation of minority intents but does not reflect their true production frequency.
8,Use intent-aware historical reply retrieval,Retrieval should prefer historical conversations belonging to the same predicted intent rather than relying only on lexical similarity.,Use nearest-neighbor retrieval across all conversations,Intent filtering improves relevance but can return no evidence when the classifier is wrong.
9,Retrieve 20 candidates before selecting the final evidence,A larger candidate pool provides more opportunities to find a relevant historical response after intent filtering.,Retrieve only the single nearest example,More candidates improve robustness but increase retrieval computation.
10,Escalate low-confidence classifications,An incorrect intent can lead to incorrect historical evidence and therefore an unsafe or irrelevant support reply.,Always generate a reply,Escalation reduces automation coverage but improves safety when the model is uncertain.
11,Escalate device-specific troubleshooting cases,"Issues involving hardware behavior, freezing, restarting, or device-specific failures often require investigation rather than a generic automated response.",Automatically answer all troubleshooting cases,This reduces automation but avoids unsupported troubleshooting advice.
12,Escalate account and billing issues,"Billing, account access, payment, password, and security-related issues can require private account information or investigation.",Automatically provide a generic resolution,More human workload is accepted in exchange for avoiding account-specific mistakes.
13,Use historical replies as evidence rather than blindly copying them,A nearest historical reply can be superficially similar but still inappropriate for the current customer situation.,Always return the nearest historical reply,"Evidence-based generation is safer, but the current local fallback still has limited natural-language generation capability."
14,Keep the system runnable without an external LLM API,The pipeline should run locally without requiring paid API usage or an internet connection for inference.,Require an external LLM API,Local execution improves reproducibility and cost control but limits response-generation quality.
15,Report pseudo-label results separately from human-validated results,"The classifier currently achieves 79.1% accuracy on pseudo-labeled development data, but this number does not represent performance on independently hand-labelled customer examples.",Present the 79.1% value as final real-world accuracy,Being explicit about the limitation makes the evaluation less impressive but more credible.
